system_size,mat_size,buf_size,num_state_mat,cpu_enabled,gpu_enabled,exe_mode,cons_lat_avg,e2e_lat_avg,goodput
5,64,1024,5,0,1,DAG,5.41158,6444.54,0.198592
5,128,1024,5,0,1,DAG,5.53541,16535.8,0.0950827
5,256,1024,5,0,1,DAG,4.65494,51687.7,0.0304832
5,512,1024,5,0,1,DAG,4.254,207377,0.00768907
5,1024,1024,5,0,1,DAG,4.40912,986761,0.00168667
5,64,1024,5,1,0,DAG,4.21067,110432,0.0144571
5,128,1024,5,1,0,DAG,4.39046,512822,0.003336
5,256,1024,5,1,0,DAG,3.91021,662689,0.00260457
5,512,1024,5,1,0,DAG,5.23778,1.70549e+06,0.001156
5,1024,1024,5,1,0,DAG,5.28125,9.51464e+06,0.000438857
5,64,1024,5,1,1,DAG,3.99542,123943,0.0128623
5,128,1024,5,1,1,DAG,4.84117,530754,0.00318971
5,256,1024,5,1,1,DAG,4.68063,675123,0.00260457
