system_size,mat_size,buf_size,num_state_mat,cpu_enabled,gpu_enabled,exe_mode,cons_lat_avg,e2e_lat_avg,goodput
5,512,1024,5,0,1,DAG,4.63216,212486,0.00749093
5,512,1024,6,0,1,DAG,5.11053,224723,0.00708133
5,512,1024,7,0,1,DAG,4.38603,201721,0.00789387
5,512,1024,8,0,1,DAG,4.58371,208525,0.0076208
5,512,1024,9,0,1,DAG,4.64362,205890,0.00775733
5,512,1024,10,0,1,DAG,4.29545,213269,0.00749093
5,512,1024,5,1,0,DAG,4.01006,1.76428e+06,0.00101733
5,512,1024,6,1,0,DAG,4.12007,1.79764e+06,0.000949067
5,512,1024,7,1,0,DAG,4.32619,1.73713e+06,0.00101733
5,512,1024,8,1,0,DAG,4.51544,1.71648e+06,0.00101733
5,512,1024,9,1,0,DAG,4.45188,1.7697e+06,0.00101733
5,512,1024,10,1,0,DAG,4.45437,1.76475e+06,0.00101733
5,512,1024,5,1,1,DAG,4.59294,1.74731e+06,0.00101733
5,512,1024,6,1,1,DAG,4.4158,1.79398e+06,0.000949067
5,512,1024,7,1,1,DAG,4.08387,1.92744e+06,0.000949067
5,512,1024,8,1,1,DAG,4.88875,1.72247e+06,0.00101733
5,512,1024,9,1,1,DAG,4.13656,1.78553e+06,0.00101733
5,512,1024,10,1,1,DAG,3.95356,1.78641e+06,0.00101733
